,data.uri,data.name,data.artists.items,data.coverArt.sources,data.date.year
0,spotify:album:6IszuwuQUBAW0WYbVSsGuB,ABCD,"[{'uri': 'spotify:artist:1VwDG9aBflQupaFNjUru9A', 'profile': {'name': 'NAYEON'}}]","[{'url': 'https://i.scdn.co/image/ab67616d00001e02c74fb7d056cd40979603be62', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851c74fb7d056cd40979603be62', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b273c74fb7d056cd40979603be62', 'width': 640, 'height': 640}]",2024
1,spotify:album:10NNESfifwPjSvZozKu3qp,abc,"[{'uri': 'spotify:artist:1ilFfsdfeEkzy93YUq0Jhl', 'profile': {'name': 'abarriacristian'}}]","[{'url': 'https://i.scdn.co/image/ab67616d00001e028d8ae205859120336747eb14', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048518d8ae205859120336747eb14', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b2738d8ae205859120336747eb14', 'width': 640, 'height': 640}]",2024
2,spotify:album:1Fgkza2TGktWPN0keaZK5z,ABCD 2 (Original Motion Picture Soundtrack),"[{'uri': 'spotify:artist:1mBydYMVBECdDmMfE2sEUO', 'profile': {'name': 'Sachin-Jigar'}}]","[{'url': 'https://i.scdn.co/image/ab67616d00001e024634da1d297644a35619f4fc', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048514634da1d297644a35619f4fc', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b2734634da1d297644a35619f4fc', 'width': 640, 'height': 640}]",2018
3,spotify:album:7BgImTrFzm2nQQW59IeFGD,Abcdario,"[{'uri': 'spotify:artist:1gJdf4Yybu4X5A2xYV3NMV', 'profile': {'name': 'Eden Muñoz'}}, {'uri': 'spotify:artist:7Gi6gjaWy3DxyilpF1a8Is', 'profile': {'name': 'Junior H'}}]","[{'url': 'https://i.scdn.co/image/ab67616d00001e02a4185fe75fdc92c5749ca08f', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851a4185fe75fdc92c5749ca08f', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b273a4185fe75fdc92c5749ca08f', 'width': 640, 'height': 640}]",2023
4,spotify:album:7G9HQWKpJSqZrEm7m8ba4T,Songs About the ABCs & 123s,"[{'uri': 'spotify:artist:7CdGfkCRgPhElnqy3HPJ4a', 'profile': {'name': 'Super Simple Songs'}}]","[{'url': 'https://i.scdn.co/image/ab67616d00001e0260905829bbeb79acf02d7b26', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485160905829bbeb79acf02d7b26', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b27360905829bbeb79acf02d7b26', 'width': 640, 'height': 640}]",2018
5,spotify:album:2tukc7pH4qTuXcfaHjLIBc,ABC,"[{'uri': 'spotify:artist:2iE18Oxc8YSumAU232n4rW', 'profile': {'name': 'The Jackson 5'}}]","[{'url': 'https://i.scdn.co/image/ab67616d00001e029df68560791d0b3dab491867', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048519df68560791d0b3dab491867', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b2739df68560791d0b3dab491867', 'width': 640, 'height': 640}]",1970
6,spotify:album:6tUQPKlpR4x1gjrXTtOImI,abcdefu,"[{'uri': 'spotify:artist:2VSHKHBTiXWplO8lxcnUC9', 'profile': {'name': 'GAYLE'}}]","[{'url': 'https://i.scdn.co/image/ab67616d00001e022842f743ebd32235bceb43d3', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048512842f743ebd32235bceb43d3', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b2732842f743ebd32235bceb43d3', 'width': 640, 'height': 640}]",2021
7,spotify:album:4vWoeS1YYFs4fitgqhrgaE,ABC,"[{'uri': 'spotify:artist:5ozhAjJnyusQHHWCp9GmYy', 'profile': {'name': 'Sally Holland'}}]","[{'url': 'https://i.scdn.co/image/ab67616d00001e02e786f56ca3eca6871ed956f5', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851e786f56ca3eca6871ed956f5', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b273e786f56ca3eca6871ed956f5', 'width': 640, 'height': 640}]",2022
8,spotify:album:0QXCIagcYSnzr59Gp0C4fr,ABC 123,"[{'uri': 'spotify:artist:50bY8HGxT0SuDgJX3AilTT', 'profile': {'name': 'Sesame Street'}}]","[{'url': 'https://i.scdn.co/image/ab67616d00001e02492f0abc119c3f2149364249', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851492f0abc119c3f2149364249', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b273492f0abc119c3f2149364249', 'width': 640, 'height': 640}]",2022
9,spotify:album:1eCJRp3bemhLyeuD3hSCqK,ABC,"[{'uri': 'spotify:artist:7CLsFRcEkn0Amc9VlVOFwR', 'profile': {'name': 'LUNAX'}}]","[{'url': 'https://i.scdn.co/image/ab67616d00001e02fd26d8c33091b8af2fd0e26c', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851fd26d8c33091b8af2fd0e26c', 'width': 64, 'height': 64}, {'url': 'https://i.scdn.co/image/ab67616d0000b273fd26d8c33091b8af2fd0e26c', 'width': 640, 'height': 640}]",2024
